run_number,temperature,tags,summary,latency_ms
15,0.7,Phase II Clinical Trial; Metformin Efficacy; Blood Glucose Management,"Phase II trial tests Metformin's efficacy and safety in Type 2 Diabetes patients over 12 weeks, targeting HbA1c reduction and adverse events.",26358.0
16,0.7,Metformin Efficacy; Type 2 Diabetes; Phase II Trial,"This Phase II trial assesses Metformin's efficacy and safety in Type 2 Diabetes patients over 12 weeks, focusing on HbA1c reduction and adverse events.",45613.92
17,0.7,Phase II Clinical Trial; Metformin Efficacy; Type 2 Diabetes Management,"This Phase II trial assesses Metformin's efficacy and safety in managing Type 2 Diabetes over 12 weeks, focusing on HbA1c reduction and adverse events.",35899.71
18,0.7,Phase II Clinical Trial; Metformin Efficacy; Type 2 Diabetes Management,"Phase II trial evaluates Metformin's efficacy and safety in Type 2 Diabetes over 12 weeks, targeting HbA1c reduction and adverse events.",29978.09
19,0.7,Phase II Trial; Metformin Efficacy; Type 2 Diabetes,"This study evaluates Metformin's efficacy and safety in managing Type 2 Diabetes blood glucose over 12 weeks, focusing on HbA1c reduction.",38643.75
20,0.7,Metformin Efficacy; Type 2 Diabetes; Phase II Trial,"This trial assesses Metformin's efficacy and safety in managing Type 2 Diabetes blood glucose over 12 weeks, focusing on HbA1c reduction and adverse events.",42261.76
1,0.0,Phase II Clinical Trial; Metformin Efficacy; Metformin Safety,"This Phase II trial assesses Metformin's efficacy and safety in Type 2 Diabetes patients over 12 weeks, focusing on HbA1c reduction and adverse events.",58469.29
2,0.0,Metformin Efficacy; Type 2 Diabetes Management; Clinical Trial Safety,"Phase II study assesses Metformin's efficacy and safety in Type 2 Diabetes patients over 12 weeks, targeting HbA1c reduction and adverse events.",32533.61
3,0.0,Phase II Clinical Trial; Metformin Efficacy; Type 2 Diabetes Management,"This Phase II trial assesses Metformin's efficacy and safety in Type 2 Diabetes patients over 12 weeks, focusing on HbA1c reduction and adverse events.",33518.69
4,0.0,Metformin Efficacy; Type 2 Diabetes Management; Clinical Trial Safety,"Phase II study assesses Metformin's efficacy and safety in Type 2 Diabetes patients over 12 weeks, targeting HbA1c reduction and adverse events.",30482.58
5,0.0,Phase II Clinical Trial; Metformin Efficacy; Type 2 Diabetes Management,"This Phase II trial assesses Metformin's efficacy and safety in Type 2 Diabetes patients over 12 weeks, focusing on HbA1c reduction and adverse events.",33516.66
6,0.0,Metformin Efficacy; Type 2 Diabetes Management; Clinical Trial Safety,"Phase II study assesses Metformin's efficacy and safety in Type 2 Diabetes patients over 12 weeks, targeting HbA1c reduction and adverse events.",30744.5
7,0.0,Phase II Clinical Trial; Metformin Efficacy; Type 2 Diabetes Management,"This Phase II trial assesses Metformin's efficacy and safety in Type 2 Diabetes patients over 12 weeks, focusing on HbA1c reduction and adverse events.",33531.37
8,0.0,Metformin Efficacy; Type 2 Diabetes Management; Clinical Trial Safety,"Phase II study assesses Metformin's efficacy and safety in Type 2 Diabetes patients over 12 weeks, targeting HbA1c reduction and adverse events.",30452.11
9,0.0,Phase II Clinical Trial; Metformin Efficacy; Type 2 Diabetes Management,"This Phase II trial assesses Metformin's efficacy and safety in Type 2 Diabetes patients over 12 weeks, focusing on HbA1c reduction and adverse events.",33493.14
10,0.0,Metformin Efficacy; Type 2 Diabetes Management; Clinical Trial Safety,"Phase II study assesses Metformin's efficacy and safety in Type 2 Diabetes patients over 12 weeks, targeting HbA1c reduction and adverse events.",30390.39
11,0.0,Phase II Clinical Trial; Metformin Efficacy; Type 2 Diabetes Management,"This Phase II trial assesses Metformin's efficacy and safety in Type 2 Diabetes patients over 12 weeks, focusing on HbA1c reduction and adverse events.",33478.53
12,0.0,Metformin Efficacy; Type 2 Diabetes Management; Clinical Trial Safety,"Phase II study assesses Metformin's efficacy and safety in Type 2 Diabetes patients over 12 weeks, targeting HbA1c reduction and adverse events.",30410.33
13,0.0,Phase II Clinical Trial; Metformin Efficacy; Type 2 Diabetes Management,"This Phase II trial assesses Metformin's efficacy and safety in Type 2 Diabetes patients over 12 weeks, focusing on HbA1c reduction and adverse events.",33543.15
14,0.0,Metformin Efficacy; Type 2 Diabetes Management; Clinical Trial Safety,"Phase II study assesses Metformin's efficacy and safety in Type 2 Diabetes patients over 12 weeks, targeting HbA1c reduction and adverse events.",30411.64
15,0.0,Phase II Clinical Trial; Metformin Efficacy; Type 2 Diabetes Management,"This Phase II trial assesses Metformin's efficacy and safety in Type 2 Diabetes patients over 12 weeks, focusing on HbA1c reduction and adverse events.",33511.32
16,0.0,Metformin Efficacy; Type 2 Diabetes Management; Clinical Trial Safety,"Phase II study assesses Metformin's efficacy and safety in Type 2 Diabetes patients over 12 weeks, targeting HbA1c reduction and adverse events.",30398.42
17,0.0,Phase II Clinical Trial; Metformin Efficacy; Type 2 Diabetes Management,"This Phase II trial assesses Metformin's efficacy and safety in Type 2 Diabetes patients over 12 weeks, focusing on HbA1c reduction and adverse events.",33525.61
18,0.0,Metformin Efficacy; Type 2 Diabetes Management; Clinical Trial Safety,"Phase II study assesses Metformin's efficacy and safety in Type 2 Diabetes patients over 12 weeks, targeting HbA1c reduction and adverse events.",30374.8
19,0.0,Phase II Clinical Trial; Metformin Efficacy; Type 2 Diabetes Management,"This Phase II trial assesses Metformin's efficacy and safety in Type 2 Diabetes patients over 12 weeks, focusing on HbA1c reduction and adverse events.",33481.41
20,0.0,Metformin Efficacy; Type 2 Diabetes Management; Clinical Trial Safety,"Phase II study assesses Metformin's efficacy and safety in Type 2 Diabetes patients over 12 weeks, targeting HbA1c reduction and adverse events.",30393.76
